"Date","Price","Open","High","Low","Vol.","Change %"
"08/31/2022","80.03","81.06","81.61","79.00","22.95K","-0.97%"
"08/30/2022","80.81","86.28","86.89","79.92","30.59K","-6.75%"
"08/29/2022","86.66","90.50","90.50","85.69","13.82K","-4.04%"
"08/26/2022","90.31","89.04","90.49","88.06","12.41K","1.12%"
"08/25/2022","89.31","89.20","90.66","87.20","15.31K","0.08%"
"08/24/2022","89.24","90.00","91.39","88.37","16.69K","-0.06%"
"08/23/2022","89.29","92.51","94.19","88.85","20.11K","-3.12%"
"08/22/2022","92.17","98.50","98.69","90.85","20.61K","-5.96%"
"08/19/2022","98.01","96.30","99.22","95.60","14.81K","2.05%"
"08/18/2022","96.04","96.25","97.49","92.70","19.87K","0.25%"
"08/17/2022","95.80","92.35","96.44","92.23","18.64K","4.04%"
"08/16/2022","92.08","90.07","92.66","90.07","18.19K","1.43%"
"08/15/2022","90.78","89.35","90.87","88.50","14.70K","2.15%"
"08/12/2022","88.87","86.90","89.25","86.82","16.55K","1.51%"
"08/11/2022","87.55","85.98","88.03","85.35","15.57K","1.90%"
"08/10/2022","85.92","85.50","86.30","84.25","14.48K","-0.01%"
"08/09/2022","85.93","84.18","86.08","83.95","12.99K","2.53%"
"08/08/2022","83.81","85.00","85.50","83.65","12.98K","-1.12%"
"08/05/2022","84.76","84.31","85.45","83.50","12.35K","0.68%"
"08/04/2022","84.19","83.60","84.85","83.28","17.59K","0.24%"
"08/03/2022","83.99","81.83","84.10","81.65","14.09K","2.49%"
"08/02/2022","81.95","80.15","82.25","79.64","19.58K","1.70%"
"08/01/2022","80.58","78.50","80.87","78.10","11.87K","2.58%"
"07/29/2022","78.55","78.96","79.50","77.54","18.60K","-0.52%"
"07/28/2022","78.96","76.25","80.12","76.07","16.57K","3.70%"
"07/27/2022","76.14","76.61","77.79","75.78","14.50K","-0.70%"
"07/26/2022","76.68","76.69","77.50","75.85","19.52K","0.41%"
"07/25/2022","76.37","76.12","78.42","75.49","22.15K","0.09%"
"07/22/2022","76.30","78.20","79.80","76.00","28.56K","-2.32%"
"07/21/2022","78.11","79.20","79.80","77.65","31.89K","-0.93%"
"07/20/2022","78.84","83.60","83.64","78.70","38.18K","-5.75%"
"07/19/2022","83.65","85.20","85.20","82.80","20.97K","-1.52%"
"07/18/2022","84.94","85.50","85.50","83.70","12.22K","-0.52%"
"07/15/2022","85.38","83.53","85.74","83.51","14.30K","1.68%"
"07/14/2022","83.97","84.10","84.79","83.26","14.52K","0.13%"
"07/13/2022","83.86","86.01","86.57","83.56","14.30K","-2.09%"
"07/12/2022","85.65","84.60","86.06","83.33","16.96K","1.53%"
"07/11/2022","84.36","82.77","84.62","82.70","11.90K","1.90%"
"07/08/2022","82.79","84.92","85.00","82.60","13.96K","-2.51%"
"07/07/2022","84.92","83.50","85.46","82.76","15.02K","2.04%"
"07/06/2022","83.22","82.98","84.64","82.70","13.94K","0.04%"
"07/05/2022","83.19","84.99","84.99","82.52","14.86K","-1.61%"
"07/04/2022","84.55","85.58","87.17","83.50","14.14K","-1.20%"
"07/01/2022","85.58","89.32","90.35","85.01","18.40K","-5.08%"
