"Status";"Gas Day Start (status at 6AM CET)";"Gas Day End";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Technical Capacity (TWh)";"Injection capacity (GWh/d)";"Withdrawal capacity (GWh/d)";"Contracted Capacity (TWh)";"Available Capacity (TWh)"
"E";"2022-10-31";"2022-11-01";"1058.2953";"94.79";"0.15";"2094.19";"495.2";"1116.4553";"11917.03";"20094.06";"0";"0"
"E";"2022-10-30";"2022-10-31";"1056.6069";"94.72";"0.23";"2667.7";"264.4";"1115.4553";"11912.95";"20088.81";"0";"0"
"E";"2022-10-29";"2022-10-30";"1054.058";"94.38";"0.23";"2773.31";"324.4";"1116.8795";"11633.78";"19789.16";"0";"0"
"E";"2022-10-28";"2022-10-29";"1051.498";"94.27";"0.16";"2312.86";"444.7";"1115.4553";"11515.74";"19592.71";"0";"0"
"E";"2022-10-27";"2022-10-28";"1049.6886";"94.1";"0.14";"2073.71";"508.8";"1115.4553";"11514.28";"19590.6";"0";"0"
"E";"2022-10-26";"2022-10-27";"1048.1046";"93.96";"0.09";"1831.14";"821.3";"1115.4553";"11514.28";"19590.6";"0";"0"
"E";"2022-10-25";"2022-10-26";"1047.0659";"93.87";"0.11";"2018.61";"783.8";"1115.4253";"11522.2";"19590.6";"0";"0"
"E";"2022-10-24";"2022-10-25";"1045.8332";"93.83";"0.19";"2252.46";"441.8";"1114.6253";"11522.2";"19590.6";"0";"0"
"E";"2022-10-23";"2022-10-24";"1043.7044";"93.64";"0.21";"3164.86";"471.6";"1114.6253";"11519.24";"19586.68";"0";"0"
"E";"2022-10-22";"2022-10-23";"1041.3192";"93.42";"0.21";"2913.1";"508.1";"1114.6241";"11924.94";"20094.1";"0";"0"
"E";"2022-10-21";"2022-10-22";"1038.9309";"93.21";"0.12";"2241.51";"899.2";"1114.6241";"11924.93";"20094.13";"0";"0"
"E";"2022-10-20";"2022-10-21";"1037.579";"93.09";"0.11";"2212.54";"997.4";"1114.6241";"11924.95";"20094.07";"0";"0"
"E";"2022-10-19";"2022-10-20";"1036.3637";"92.94";"0.14";"2303.35";"825.3";"1115.0401";"11924.9";"20094.21";"0";"0"
"E";"2022-10-18";"2022-10-19";"1034.8382";"92.81";"0.16";"2434.87";"676.1";"1114.9731";"11924.87";"20094.29";"0";"0"
"E";"2022-10-17";"2022-10-18";"1033.0195";"92.65";"0.21";"2983.52";"709";"1114.9731";"11924.87";"20094.28";"0";"0"
